Gene,Value
AOC3,32.38176
AOX1,20.651455
AP1AR,15.324306666666667
AP1B1,157.073
AP1G1,277.2182833333333
AP1G2,31.187966666666668
AP1M1,179.92179
AP1M2,14.348745
AP1S1,35.345663333333334
AP1S2,888.7879175
AP1S3,4.405908
AP2A1,100.548755
AP2A2,91.94704999999999
AP2B1,155.33416
AP2M1,1102.5958
AP2S1,904.25201
AP3B1,175.390285
AP3B2,27.738055
AP3D1,277.0562
AP3M1,144.99296999999999
AP3M2,131.549485
AP3S1,742.20938
AP4B1,43.70489666666666
AP4E1,29.855515
AP4M1,34.93633
AP4S1,45.140425
AP5B1,577.86678
AP5M1,126.769028
AP5S1,180.60067
AP5Z1,165.941515
APAF1,195.44549666666668
APBA1,20.115005
APBA2,60.851254999999995
APBA3,93.69515999999999
APBB1,56.72221
APBB1IP,830.1671999999999
APBB2,34.22014
APBB3,45.67809
APC,105.49631400000001
APC2,34.08075
APCDD1,22.198839999999997
APCDD1L,22.16005
APCS,15.16075
APEH,67.04736
APEX1,514.53227
APEX2,55.976675
APH1A,112.85842333333335
APH1B,76.76244
API5,119.92370199999998
APIP,63.243575
APLF,15.66632
APLN,41.52955
APLNR,12.95839
APLP1,11.2657
APLP2,601.08531125
APMAP,1300.11471
APOA1,60.597840000000005
APOA1BP,163.97584
APOA2,6.241955
APOA4,24.41908
APOA5,40.616200000000006
APOB,23.32271
APOBEC1,19.93702
APOBEC2,38.65691
APOBEC3A,647.98342
APOBEC3B,688.48623
APOBEC3C,462.50708
APOBEC3D,56.91418
APOBEC3F,54.52557000000001
APOBEC3G,338.45991499999997
APOBEC4,42.85391
APOBR,192.05058
APOC1,66.283125
APOC2,46.3268975
APOC3,10.317145
APOD,13.0249
APOE,54.843646666666665
APOF,33.19137
APOH,32.10838
APOL1,81.1419
APOL2,156.74392
APOL3,242.85105
APOL4,23.11800333333333
APOL5,22.53365
APOL6,91.72604749999999
APOLD1,124.30953000000001
APOM,20.38589
APOO,79.80384
APOOL,40.8611325
APOPT1,477.624465
APP,1098.8464033333332
APPBP2,58.7044275
APPL1,91.48306
APPL2,110.85966
APRT,210.151905
APTX,46.62915999999999
AQP1,50.063590000000005
AQP10,23.27377
AQP11,4.04001
AQP2,64.49214666666667
AQP3,209.80293333333336
AQP4,4.2042720000000005
AQP4-AS1,47.3425
AQP5,94.86255
AQP6,6.7534849999999995
AQP7,30.74522
AQP8,35.07575
AQP9,2821.45142
AQPEP,6.05674
AQR,97.196725
AR,23.44078
ARAF,94.52438000000001
ARAP1,166.44661333333332
ARAP2,146.86432333333335
ARAP3,167.21186
ARC,64.1378
ARCN1,585.94307
AREG,8.716923333333332
AREL1,59.06883
ARF1,747.6181925000001
ARF1P1,51.16678
ARF3,372.9182766666667
ARF4,513.9358
ARF5,194.67341
ARF6,543.5270300000001
ARFGAP1,50.75751
ARFGAP2,87.561465
ARFGAP3,321.32127
ARFGEF1,228.96367333333333
ARFGEF2,132.7630825
ARFIP1,150.975695
ARFIP2,51.65653
ARFRP1,55.801640000000006
ARG1,41.744640000000004
ARG2,339.88684
ARGLU1,537.7243775
ARHGAP1,367.0722225
ARHGAP10,67.07073
ARHGAP11A,2.92601
ARHGAP11B,0.01716
ARHGAP12,40.73456
ARHGAP15,410.690855
ARHGAP17,186.95162
ARHGAP18,104.76933333333334
ARHGAP19,112.09979333333332
ARHGAP20,13.169505000000001
ARHGAP21,85.85468
ARHGAP22,13.698345
ARHGAP23,37.2871575
ARHGAP24,32.0138725
ARHGAP25,696.7371266666668
ARHGAP26,162.7246525
ARHGAP27,99.726628
ARHGAP28,7.399156666666667
ARHGAP29,7.8869825
ARHGAP30,526.057155
ARHGAP31,24.595285
ARHGAP32,33.3957675
ARHGAP33,11.286126666666668
ARHGAP35,39.063532
ARHGAP36,11.61389
ARHGAP39,30.28297
ARHGAP4,95.944
ARHGAP42,7.843113333333332
ARHGAP44,22.70881
ARHGAP5,25.459922
ARHGAP5-AS1,23.48322
ARHGAP6,82.914545
ARHGAP9,1312.05524
ARHGDIA,140.250605
ARHGDIB,2755.83257
ARHGDIG,14.48386
ARHGEF1,261.902385
ARHGEF10,14.96827
ARHGEF10L,69.18545
ARHGEF11,53.43781333333333
ARHGEF12,49.69563076923077
ARHGEF15,84.010235
ARHGEF16,14.53734
ARHGEF17,267.34161
ARHGEF18,1266.82239
ARHGEF19,24.60728
ARHGEF2,305.17839
ARHGEF25,88.11629
ARHGEF26,22.637863333333332
ARHGEF28,18.703688333333332
ARHGEF3,566.09615
ARHGEF37,66.156835
ARHGEF38,137.22994
ARHGEF39,27.637259999999998
ARHGEF4,14.506223333333333
ARHGEF40,144.95400333333336
ARHGEF5,42.83338
ARHGEF6,585.20017
ARHGEF7,55.20951111111111
ARHGEF9,14.295459999999999
ARID1A,569.26297
ARID1B,93.42619142857143
ARID2,74.31410666666666
ARID3A,162.09960999999998
ARID3B,55.57047
ARID4A,186.83148
ARID4B,187.31620833333332
ARID5A,42.9805
ARID5B,65.36269
ARIH1,129.3739
ARIH2,98.30440200000001
ARIH2OS,2.10008
ARL1,80.64432333333333
ARL10,22.5057225
ARL11,396.77867999999995
ARL13B,26.07072
ARL14,0.00095
ARL14EP,141.75899
ARL15,102.054055
ARL2,101.30838
ARL2BP,223.47317
ARL3,81.92465
ARL4A,120.5078
ARL4C,534.84407
ARL4D,31.1315
ARL5A,293.49904
ARL5B,72.70432500000001
ARL5C,20.48433
ARL6,9.03398
ARL6IP1,423.01416
ARL6IP4,152.924415
ARL6IP5,1615.916065
ARL6IP6,165.57825666666665
ARL8A,428.23423
ARL8B,295.594895
ARL9,7.62516
ARMC1,305.46765500000004
ARMC10,127.397545
ARMC12,29.27957
ARMC2,5.73649
ARMC3,10.21391
ARMC4,17.1088
ARMC5,71.96174
ARMC6,115.79363
ARMC7,110.283725
ARMC8,65.04048166666668
ARMC9,3.641536
ARMCX1,24.95667
ARMCX2,25.44265
ARMCX3,189.027325
ARMCX4,20.121956
ARMCX5,34.565725
ARMCX6,304.044625
ARNT,34.032086666666665
ARNT2,12.37125
ARNTL,228.42782999999997
ARNTL2,8.753936666666666
ARPC1A,100.03371
ARPC1B,1942.43986
ARPC2,3661.3208433333334
ARPC3,3272.19979
ARPC4,154.09791833333335
ARPC5,1428.6945733333334
ARPC5L,156.86812500000002
ARPIN,20.63506
ARPP19,316.50271333333336
ARPP21,4.304021666666666
ARR3,84.47495
ARRB1,91.69602571428571
ARRB2,1019.50119
ARRDC1,96.257425
ARRDC2,160.95109
ARRDC3,1084.87862
ARRDC4,175.73866
ARSA,34.285125
ARSB,8.2305375
ARSD,39.34379375
ARSE,55.36279
ARSF,13.41403
ARSG,46.82167
ARSI,233.6026
ARSJ,3.68978
ARSK,25.30893
ART1,11.682613333333334
ART3,5.05141
ART4,5.29649
ART5,67.03851
ARTN,30.75097333333333
ARV1,62.051975
ARVCF,48.14982666666666
ARX,44.114945000000006
AS3MT,31.33136
ASAH1,1202.684738
ASAH2B,10.774344999999999
